"internship-primary-info src","job-title","company-name","wfh","posted-on","location","duration","stipend 2","stipend 4","user 2","apply-by 2","btn href"
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2NjY4MjJmY2IwNzc3MTcxODEwMDczMi5wbmc=","PYTHON PROGRAMMING INTERNSHIP (PYTHON DEVELOPMENT)","codegeeky","Full Time","03-Jun-2026","Pan India,","4 Months","Unpaid","16","2","29-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDk3MDU0NmEyMDNhOWVjZjgyYg=="
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2NjdlYmY3YjJlOTI3MTcxOTU4MjU4Ny5wbmc=","C++ PROGRAMMING INTERNSHIP","CodeMore","Full Time","03-Jun-2026","Pan India,","2 Months","Unpaid","8","2","29-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDk2OTk3NmEyMDNhNjUxZDg5Mg=="
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2NTQ3NGI4MTZjYzAyMTY5OTE3MTIwMS5wbmc=","6 MONTHS INTERNSHIP IN CYBER SECURITY","SURE Trust","Virtual Internship","03-Jun-2026","Pan India,","6 Months","Unpaid","24","10","03-Dec-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDk2NjY3NmEyMDM5MWI4YWU3Mw=="
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2MThmY2MwZTVjOWIxMTYzNjgxMzgzOC5wbmc=","CAMPUS AMBASSADOR INTERNSHIP","Yhills Edutech Private Limited","Full Time","03-Jun-2026","Pan India,","2 Months","5000 /month","8","5","15-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDg5NDk3NmEyMDFkMTk4MWI4Zg=="
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2NmJjODQxYTFjOGQ5MTcyMzYzMDYxOC5wbmc=","ARTIFICIAL INTELLIGENCE & MACHINE LEARNING (AI/ML)/CLOUD COMPUTING & DEVOPS/PYTHON PROGRAMMING/DATA ANALYSIS/DATA SCIENCE","MAINCRAFTS COM","Virtual Internship","03-Jun-2026","Pan India,","6 Weeks","Unpaid","0","4","05-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDg3Njk0NmEyMDE2MGU1ODAyNg=="
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2NjdlYmY3YjJlOTI3MTcxOTU4MjU4Ny5wbmc=","PYTHON - AI - ML - DATA SCIENCE - JAVA - WEBSITE DEVELOPMENT INTERNSHIP","CodeMore","Full Time","03-Jun-2026","Pan India,","2 Months","Unpaid","8","2","29-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDg1NDkzNmEyMDBkNzU2Njc3ZQ=="
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2NjY4MjJmY2IwNzc3MTcxODEwMDczMi5wbmc=","PYTHON PROGRAMMING INTERNSHIP","codegeeky","Full Time","03-Jun-2026","Pan India,","2 Months","Unpaid","8","2","29-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDg1NDUyNmEyMDBkNGMyNjMyZA=="
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2MTA2N2E1NThjYWY4MTYyNzgxNDQ4NS5qcGc=","COMMUNITY MANAGEMENT INTERN","UPTOSKILLS","Virtual Internship","03-Jun-2026","Pan India,","3 Months","Unpaid","12","10","13-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDgxMzI0NmExZmZkMmNjZGE1YQ=="
"https://internship.aicte-india.org/authorization.php?token=ZGI5N2E5OTYxYjNhNWU2NzkyOTk4NjAzNGEwMjE2OWU=&path=KERNQU5fSSkuL3VwbG9hZHMvbG9nby9DT1JQT1JBVEU2NjRlZjUyOGM5YTA1MTcxNjQ1MDYwMC5wbmc=","AUTOCAD","Geonixa Ed Tech Private Limited","Full Time","03-Jun-2026","Pan India,","2 Months","Unpaid","8","10","07-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNzgwNDgzOTAwNmEyMDA3M2NlZWRlYw=="
"","CLERK FOR SMART SOLID WASTE MANAGEMENT DEPARTMENT","Vadodara Smart City Development Limited","Full Time","03-Jun-2026","Baroda ,","06 Months","14000 /month","24","1","12-Jun-2026","https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUEdPVl8xNzgwNDgxNzIyNmExZmZlYmE5N2Q2OQ==&level=Mg=="
